1|1|1|1
2|1|1|2
3|1|1|3
4|1|1|4
5|1|1|5
6|1|1|6
7|1|1|7
8|1|1|8
9|1|2|1
10|1|2|2
11|1|2|3
12|1|2|4
13|1|2|5
14|1|2|6
15|1|2|7
16|1|2|8
17|1|3|1
18|1|3|2
19|1|3|3
20|1|3|4
21|1|3|5
22|1|3|6
23|1|3|7
24|1|3|8
25|1|4|1
26|1|4|2
27|1|4|3
28|1|4|4
29|1|4|5
30|1|4|6
31|1|4|7
32|1|4|8
33|1|5|1
34|1|5|2
35|1|5|3
36|1|5|4
37|1|5|5
38|1|5|6
39|1|5|7
40|1|5|8
41|2|1|1
42|2|1|2
43|2|1|3
44|2|1|4
45|2|1|5
46|2|1|6
47|2|1|7
48|2|1|8
49|2|1|9
50|2|1|10
51|2|2|1
52|2|2|2
53|2|2|3
54|2|2|4
55|2|2|5
56|2|2|6
57|2|2|7
58|2|2|8
59|2|2|9
60|2|2|10
61|2|3|1
62|2|3|2
63|2|3|3
64|2|3|4
65|2|3|5
66|2|3|6
67|2|3|7
68|2|3|8
69|2|3|9
70|2|3|10
71|2|4|1
72|2|4|2
73|2|4|3
74|2|4|4
75|2|4|5
76|2|4|6
77|2|4|7
78|2|4|8
79|2|4|9
80|2|4|10
81|2|5|1
82|2|5|2
83|2|5|3
84|2|5|4
85|2|5|5
86|2|5|6
87|2|5|7
88|2|5|8
89|2|5|9
90|2|5|10
91|2|6|1
92|2|6|2
93|2|6|3
94|2|6|4
95|2|6|5
96|2|6|6
97|2|6|7
98|2|6|8
99|2|6|9
100|2|6|10
101|2|7|1
102|2|7|2
103|2|7|3
104|2|7|4
105|2|7|5
106|2|7|6
107|2|7|7
108|2|7|8
109|2|7|9
110|2|7|10
111|2|8|1
112|2|8|2
113|2|8|3
114|2|8|4
115|2|8|5
116|2|8|6
117|2|8|7
118|2|8|8
119|2|8|9
120|2|8|10
121|2|9|1
122|2|9|2
123|2|9|3
124|2|9|4
125|2|9|5
126|2|9|6
127|2|9|7
128|2|9|8
129|2|9|9
130|2|9|10
131|2|10|1
132|2|10|2
133|2|10|3
134|2|10|4
135|2|10|5
136|2|10|6
137|2|10|7
138|2|10|8
139|2|10|9
140|2|10|10
